"","서울","부산","대구","인천","광주","대전","울산","수원","청주","제주","전주"
"..1182",1808.33333333333,2030,1962.5,1780,1927.5,1877.5,1780,2180,1980,2180,1770
"..1183",1808.33333333333,2030,1915,1780,1927.5,1827.5,1780,2180,1980,2180,1770
"..1184",1816.66666666667,1885,1867.5,1780,1960,1990,2280,2180,1980,2180,1580
"..1185",1740,1702.5,1685,1550,1670,1620,1550,2180,1580,1980,1580
"..1186",1601.66666666667,1652.5,1685,1550,1670,1752.5,1550,2180,1580,2180,1580
"..1187",1601.66666666667,1652.5,1685,1550,1670,1752.5,1550,2180,1580,2180,1580
"..1188",1761.66666666667,1910,1792.5,1750,1835,1752.5,1550,2180,1580,2180,1680
"..1189",1783.33333333333,1910,1792.5,1750,1835,1785,1680,2180,1580,2180,1680
"..1190",1683.33333333333,1760,1792.5,1750,1860,1810,1680,2090,1980,2180,1680
"..1191",1683.33333333333,1760,1817.5,1750,1860,1810,1680,2090,1580,2180,1680
"..1192",1683.33333333333,1802.5,1817.5,1750,1860,1810,1680,2090,1580,2180,1680
"..1193",1795,1802.5,1817.5,1600,1790,1785,1680,2090,1580,2250,1680
"..1194",1770,1802.5,1817.5,1600,1790,1785,1680,2090,1580,1680,1680
"..1195",1770,1802.5,1817.5,1600,1790,1690,1680,2090,1580,2250,1680
"..1196",1770,1802.5,1817.5,1600,1765,1690,1680,2090,1580,2250,1680
"..1197",1770,1802.5,1817.5,1600,1765,1690,1680,2090,1580,2250,1680
"..1198",1800,1720,1735,1680,1702.5,1702.5,1650,2090,1580,2360,1650
"..1199",1695,1720,1735,1680,1702.5,1702.5,1650,2090,1580,2360,1650
"..1200",1763.33333333333,1720,1735,1680,1727.5,1702.5,1650,2090,1580,1580,1650
"..1201",1763.33333333333,1720,1707.5,1680,1727.5,1702.5,1650,2180,1580,1580,1650
"..1202",1763.33333333333,1720,1707.5,1680,1727.5,1702.5,1650,2180,1580,1580,1650
"..1203",1491.66666666667,1710,1592.5,1350,1577.5,1527.5,1680,2180,1280,2360,1280
"..1204",1435,1710,1535,1180,1520,1485,1680,2180,1280,2360,1280
"..1205",1416.66666666667,1710,1517.5,1180,1452.5,1485,1680,2180,1280,2360,1280
"..1206",1416.66666666667,1710,1517.5,1180,1410,1485,1680,2180,1280,1280,1280
"..1207",1416.66666666667,1710,1517.5,1180,1410,1485,1680,2180,1280,1280,1280
"..1208",1598.33333333333,1610,1592.5,1250,1402.5,1552.5,1480,2180,1280,1680,1650
"..1209",1461.66666666667,1485,1642.5,1250,1452.5,1602.5,1480,2180,1280,1680,1650
"..1210",1680,1785,1702.5,1250,1660,1602.5,1480,2180,1680,1980,1650
"..1211",1571.66666666667,1785,1702.5,1250,1653.33333333333,1602.5,1480,2180,1680,1980,1650
"..1212",1610,1785,1690,1250,1653.33333333333,1602.5,1680,2180,1680,1980,1650
"..1213",1681.66666666667,1635,1590,1250,1653.33333333333,1710,1680,2150,1680,1830,1650
"..1214",1610,1635,1690,1250,1510,1710,1680,2150,1680,1650,1650
"..1215",1666.66666666667,1735,1690,1680,1660,1710,1680,2150,1680,1650,1650
